LabID,City,pM,error,D14C,D14Csd,Day,Month,Year,DOY,Latitude,Longitude
9241,Medellin,98.54,0.24,-22.2,2.4,18,2,2014,49,6.22845,-75.60205
10911,Newport beach,100.03,0.4,-7.4,4,26,7,2014,207,33.6681,-117.8663
10907,Stockholm,100.19,0.28,-5.9,2.8,14,5,2014,134,59.346,18.0632
9243,Bogota,100.32,0.24,-4.5,2.4,14,2,2014,45,4.61522,-74.06875
10909,Boulder,100.38,0.34,-3.9,3.4,9,6,2014,160,40.0191,-105.2744
10905,Wien,100.63,0.29,-1.5,2.9,2,5,2014,122,48.2338,16.4178
9240,Jerusalem,100.76,0.24,-0.1,2.4,25,2,2014,56,31.77,35.22
10904,Bonn,100.88,0.29,1,2.9,30,4,2014,120,50.7002,7.1485
10906,Berlin,101.21,0.35,4.3,3.5,11,5,2014,131,52.5227,13.3721
9244,Prague,101.29,0.24,5.2,2.4,21,8,2013,233,50.08214,14.42066
10912,Lund,101.51,0.33,7.2,3.3,4,8,2014,216,55.7047,13.1939
10913,Stenstorp,101.5,0.35,7.2,3.5,29,7,2014,210,55.9118,13.4394
10908,Stockholm University,101.98,0.31,11.9,3.1,14,5,2014,134,59.3651,18.0569
9242,Leticia,102.32,0.24,15.3,2.4,10,2,2014,41,-4.214894,-69.94309
10910,RMNP,102.53,0.33,17.4,3.3,10,6,2014,161,40.4323,-105.7807
10914,Alps,103.26,0.32,24.8,3.2,1,8,2013,213,47.1291,11.3055
