Year,Delta14C.mean,Delta14C.sd
1950.5,-24,3
1951.5,-24,2
1952.5,-22,3
1953.5,-23,2
1954.5,-19,4
1955.5,7,6
1956.5,29,13
1957.5,52,22
1958.5,133,17
1959.5,232,9
1960.5,211,12
1961.5,220,3
1962.5,328,54
1963.5,724,125
1964.5,778,106
1965.5,726,33
1966.5,670,31
1967.5,613,13
1968.5,567,10
1969.5,534,16
1970.5,505,7
1971.5,497,25
1972.5,472,11
1973.5,444,10
1974.5,415,12
1975.5,384,11
1976.5,354,6
1977.5,335,8
1978.5,324,9
1979.5,298,7
1980.5,272,9
1981.5,259,5
1982.5,241,8
1983.5,231,7
1984.5,213,6
1985.5,206,5
1986.5,193,5
1987.5,185,4
1988.5,172,6
1989.5,163,4
1990.5,150,5
1991.5,141,3
1992.5,137,5
1993.5,128,3
1994.5,119,4
1995.5,114,3
1996.5,105,4
1997.5,102,2
1998.5,99,5
1999.5,93,4
2000.5,87,3
2001.5,81,4
2002.5,75,2
2003.5,69,3
2004.5,65,2
2005.5,59,2
2006.5,57,2
2007.5,52,2
2008.5,47,3
2009.5,45,3
2010.5,40,3
