Year 	Month 	Jungfraujoch 	JFJfit 	Schauinsland
2010.044 	1 	45.1 	45.33 	32.3
2010.125 	2 	45.1 	43.88 	34.8
2010.206 	3 	38.8 	42.61 	37.4
2010.289 	4 	41.5 	41.73 	33.9
2010.374 	5 	42.2 	41.36 	38.0
2010.458 	6 	39.9 	41.48 	37.8
2010.541 	7 	42.6 	41.97 	40.7
2010.626 	8 	44.5 	42.63 	43.5
2010.709 	9 	47.1 	43.22 	41.5
2010.792 	10 	41.4 	43.47 	42.2
2010.876 	11 	42.5 	42.97 	37.7
2010.959 	12 	41.1 	42.13 	33.6
2011.044 	1 	39.7 	41.10 	38.2
2011.125 	2 	40.5 	40.08 	32.0
2011.206 	3 	39.3 	39.23 	31.4
2011.289 	4 	39.5 	38.69 	35.8
2011.374 	5 	38.0 	38.49 	35.6
2011.458 	6 	NA  	NA  	39.4
2011.541 	7 	NA  	NA  	41.0
2011.626 	8 	NA  	NA  	40.1
2011.709 	9 	NA  	NA  	37.8
2011.792 	10 	NA  	NA  	32.6
2011.876 	11 	NA  	NA  	33.4
2011.959 	12 	NA  	NA  	32.8
2012.044 	1 	NA  	NA  	32.8
2012.125 	2 	NA  	NA  	25.2
2012.206 	3 	NA  	NA  	33.7
2012.289 	4 	NA  	NA  	31.8
2012.374 	5 	NA  	NA  	28.7
2012.458 	6 	NA  	NA  	31.4
2012.541 	7 	NA  	NA  	33.4
2012.626 	8 	NA  	NA  	32.3
2012.709 	9 	NA  	NA  	32.5
